,data_url,labels
0,./Fatigue Detection/open_eye\s0025_00248_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0016_01119_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0013_03507_0_1_1_1_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0016_01587_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0010_00203_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_04232_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00018_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_04804_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/closed_eye\s0014_02847_0_1_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_00156_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0028_00118_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_03887_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0006_00828_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00107_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_05994_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/open_eye\s0014_04917_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0023_00260_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_07134_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0019_00147_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_07189_0_0_1_2_1_02.png,1.0
0,./Fatigue Detection/closed_eye\s0011_00369_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0020_00631_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0001_00052_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_08164_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0012_07910_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0019_04173_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00807_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00850_1_0_0_1_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0018_03737_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_04216_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01440_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_01817_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03595_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0006_00855_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0018_04130_0_1_1_2_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0016_00920_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0015_01042_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0005_00158_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_01711_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0001_00615_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_00195_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03059_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0028_00471_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_07087_0_0_1_2_1_02.png,1.0
0,./Fatigue Detection/open_eye\s0014_08253_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0012_04104_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_00857_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_05561_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0006_00895_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_04584_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0019_05998_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_07719_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02275_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_04977_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0005_00008_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0005_00241_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0001_00630_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0003_00140_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00405_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0017_00395_1_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_00366_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_02649_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_03455_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_03226_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0009_00158_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03163_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02657_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0007_00291_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0013_03169_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03243_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_00442_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_06022_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_04532_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03812_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0023_00170_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_06755_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_04970_0_0_1_0_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0012_05939_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/open_eye\s0014_05171_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01295_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03204_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0021_00544_0_1_1_2_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00184_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_05754_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00158_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0004_00626_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08463_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0004_00178_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_07102_0_0_1_2_1_02.png,1.0
0,./Fatigue Detection/closed_eye\s0012_04469_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0024_00444_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0001_02236_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_04149_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_02456_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_01984_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02797_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_00807_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02164_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_05978_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_00423_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0005_00536_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_05614_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/closed_eye\s0003_00441_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0001_01004_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00222_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_03543_0_0_0_0_1_02.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02988_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0003_00431_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_05766_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_01468_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_02665_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0029_01348_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0011_01487_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_02257_0_0_0_2_1_03.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00543_1_0_0_1_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_02501_0_1_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_01778_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00523_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0027_00490_0_1_1_1_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02110_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00784_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_00531_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0028_00386_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00557_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_05347_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0025_00997_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_04456_0_0_1_1_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0019_04327_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01009_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0008_00760_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_07809_0_0_1_0_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0014_03850_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_06082_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/open_eye\s0015_01090_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_05937_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_00279_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_00653_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_02915_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_07385_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01438_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0005_00428_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00760_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_00511_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0024_00707_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_07586_0_1_1_2_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0023_00093_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0017_01449_1_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02317_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00257_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_04110_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03089_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_01878_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_00720_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00626_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_01462_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_04202_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_04391_0_0_1_1_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0019_04256_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0006_00986_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0006_00143_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03409_0_1_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_07851_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0026_01016_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0017_01566_1_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0015_00083_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0015_00362_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_06603_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03030_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0029_01059_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_01504_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_04204_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_02245_0_0_0_2_1_03.png,0.0
0,./Fatigue Detection/open_eye\s0014_04274_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_01354_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00387_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0019_01899_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_01967_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0003_00554_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_08194_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0019_00567_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_06817_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0001_01046_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0015_00363_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0005_00308_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_01425_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00453_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0009_00167_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_01333_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_05535_0_0_1_0_0_03.png,1.0
0,./Fatigue Detection/open_eye\s0014_05588_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0015_01022_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_03707_0_1_0_2_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_01683_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0004_00789_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0013_03274_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00131_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0007_00224_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0025_00346_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_04201_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0018_03899_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0011_00491_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0015_00101_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_05696_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0001_02190_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0016_00454_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_07220_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_02167_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0008_00254_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_05365_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0001_02122_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0001_02641_0_1_1_2_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0011_00297_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08394_0_0_1_1_1_02.png,1.0
0,./Fatigue Detection/open_eye\s0014_06112_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_08060_0_0_1_1_1_02.png,1.0
0,./Fatigue Detection/closed_eye\s0006_00277_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03635_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0018_03760_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_05459_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/closed_eye\s0012_01689_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0010_00353_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_01929_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_01000_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_04612_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/open_eye\s0024_00363_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_04705_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0008_00219_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_03082_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_01215_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0001_03167_0_1_1_2_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0001_00644_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02729_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_00316_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_08637_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0019_04334_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01314_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0015_00851_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0007_00454_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_03954_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0015_00445_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0004_00974_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_01129_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_07121_0_0_1_2_1_02.png,1.0
0,./Fatigue Detection/open_eye\s0014_07979_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0023_00400_0_0_1_1_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0004_00143_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08216_0_0_1_1_1_02.png,1.0
0,./Fatigue Detection/closed_eye\s0006_00451_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08086_0_0_1_1_1_02.png,1.0
0,./Fatigue Detection/closed_eye\s0019_00968_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_01358_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08435_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0012_02682_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_08351_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02725_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_07709_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/open_eye\s0026_01099_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_05267_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/closed_eye\s0019_01626_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03354_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0024_00445_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0003_00360_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0012_06702_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_00262_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_00688_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0028_00406_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0005_00179_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0027_00483_0_1_1_2_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_08085_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0004_00357_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_03928_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_06527_0_1_1_2_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0014_00512_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0017_00012_1_0_0_0_1_01.png,0.0
